timestamp,cpu_percent,mem_percent,raw_pred,voted_pred,active_sched,switched
1775027722.9532416,8.5,18.9,idle,idle,idle,False
1775027723.0033169,7.1,18.9,idle,idle,idle,False
1775027723.0533538,7.1,18.9,idle,idle,idle,False
1775027723.1034224,7.0,18.9,idle,idle,idle,False
1775027723.1535385,8.5,18.9,idle,idle,idle,False
1775027723.214025,10.6,18.9,idle,idle,idle,False
1775027723.264086,9.7,18.9,idle,idle,idle,False
1775027723.31419,10.8,18.9,idle,idle,idle,False
1775027723.3643997,8.7,18.9,idle,idle,idle,False
1775027723.4145055,7.1,18.9,idle,idle,idle,False
1775027723.4646318,12.9,18.9,io_bound,idle,idle,False
1775027723.5147376,11.0,18.9,idle,idle,idle,False
1775027723.564856,8.5,18.9,idle,idle,idle,False
1775027723.6149943,5.8,18.9,idle,idle,idle,False
1775027723.6650665,8.3,18.9,idle,idle,idle,False
1775027723.7151728,8.6,18.9,idle,idle,idle,False
1775027723.7652848,8.3,18.9,idle,idle,idle,False
1775027723.8153462,5.7,18.9,idle,idle,idle,False
1775027723.8654995,7.1,18.9,idle,idle,idle,False
1775027723.9155803,7.2,18.9,idle,idle,idle,False
1775027723.9656746,12.0,18.9,idle,idle,idle,False
1775027724.015751,7.0,19.0,idle,idle,idle,False
1775027724.0658255,5.8,18.9,idle,idle,idle,False
1775027724.115894,8.3,18.9,idle,idle,idle,False
1775027724.165986,8.6,18.9,idle,idle,idle,False
1775027724.2160604,9.6,18.9,idle,idle,idle,False
1775027724.266153,5.7,18.9,idle,idle,idle,False
1775027724.3162148,7.1,18.9,idle,idle,idle,False
1775027724.3663118,7.1,18.9,idle,idle,idle,False
1775027724.4163852,5.8,18.9,idle,idle,idle,False
1775027724.4665086,8.5,18.9,idle,idle,idle,False
1775027724.5165796,7.2,18.9,idle,idle,idle,False
1775027724.5666745,9.9,18.9,idle,idle,idle,False
1775027724.616768,5.7,18.9,idle,idle,idle,False
1775027724.6668947,8.3,18.9,idle,idle,idle,False
1775027724.7169433,4.4,18.9,idle,idle,idle,False
1775027724.7670288,8.6,18.9,idle,idle,idle,False
1775027724.8170657,4.3,18.9,idle,idle,idle,False
1775027724.8671565,7.0,18.9,idle,idle,idle,False
1775027724.917265,5.8,18.9,idle,idle,idle,False
1775027724.96734,12.0,18.9,idle,idle,idle,False
1775027725.0174606,3.0,18.9,idle,idle,idle,False
1775027725.0676053,7.0,18.9,idle,idle,idle,False
1775027725.1177173,11.0,18.9,idle,idle,idle,False
1775027725.1677997,5.8,18.9,idle,idle,idle,False
1775027725.21792,7.1,18.9,idle,idle,idle,False
1775027725.2679846,9.6,18.9,idle,idle,idle,False
1775027725.3180935,5.8,18.9,idle,idle,idle,False
1775027725.3682964,8.5,18.9,idle,idle,idle,False
1775027725.4186292,7.2,18.9,idle,idle,idle,False
1775027725.4686897,8.5,18.9,idle,idle,idle,False
1775027725.5188231,8.2,18.9,idle,idle,idle,False
1775027725.5688596,7.2,18.9,idle,idle,idle,False
1775027725.6189387,7.0,18.9,idle,idle,idle,False
1775027725.6689935,8.6,18.9,idle,idle,idle,False
1775027725.7190773,7.2,18.9,idle,idle,idle,False
1775027725.769133,7.0,18.9,idle,idle,idle,False
1775027725.819219,5.8,18.9,idle,idle,idle,False
1775027725.8833082,7.9,18.9,idle,idle,idle,False
1775027725.9334583,4.3,18.9,idle,idle,idle,False
1775027725.983633,6.9,18.9,idle,idle,idle,False
1775027726.0337617,5.7,18.9,idle,idle,idle,False
1775027726.0839307,4.3,18.9,idle,idle,idle,False
1775027726.1340764,9.7,18.9,idle,idle,idle,False
1775027726.1841323,5.8,18.9,idle,idle,idle,False
